上架編碼@_majorKey,分類@_majorType,清單項目(_showTextItem),單價,分類編碼,公告檔案(_showMapItem),deleteKey,userRoleKey,systemTimeKey,systemKey
begin,GitHub課表,,,,,,,,
A21,學程介紹_iframe,目標,260,行前01,image/海報(2).jpg,0,0,0,A21
A11,課表_iframe,課程,320,行前03,image/課程.jpg,0,0,0,A11
end,課表,,,,,,,,
begin,chatGPT,,,,,,,,
A31,chatGPT,chatGPT,260,C01,https://chat.openai.com/,0,0,0,A31
end,chatGPT,,,,,,,,
begin,操作指令,,,,,,,,
A22,操作指令,Create a new repository,260,行前02,https://kbroman.org/github_tutorial/pages/init.html,0,0,0,A22
A23,操作指令,publish a Git repository,260,行前02,https://imagej.net/develop/git/publish-a-repository,0,0,0,A23
A24,操作指令,git repository by bare,260,行前02,https://wyatthoho.medium.com/%E7%B7%B4%E7%BF%92%E4%B8%80%E4%B8%8Bgit-88b7a1411b57,0,0,0,A24
end,操作指令,,,,,,,,
